tweet_id,username,original_text,final_text,word_count_before,word_count_after,removed_urls,removed_mentions,removed_hashtags,removed_stopwords,normalized_words,stemmed_words,processed_at
1933941769500279159,,@zoelfick @bobbynasution_ @prabowo Menurut orang dungu ini masalah 4 pulau Aceh presiden Prabowo tidak tahu apa2. Semua krn keserakahan Mendagri Tito Karnavian dan gubernur Bobby atas perintah Jokowi. Prabowo gak tahu tidak ada rapat kabinet membahas ini. Betapa dungu nya ente @zoelfick .,turut orang dungu masalah pulau aceh presiden prabowo tidak tahu semua karena serakah mendagri tito karnavian gubernur bobby atas perintah jokowi prabowo enggak tahu tidak ada rapat kabinet bahas betapa dungu anta,43,32,0,4,0,5,3,3,2026-06-25 17:04:02
1933933699634250151,,@124hmahHastuti1 Pak Pres @prabowo tolong jangan ada lagi kabinet merah (antek2 Projo). Cukup kabinet putih saja seperti baju dinas yg sering Pak Pres kenakan.,pak pres tolong jangan ada lagi kabinet merah antek projo kabinet putih seperti baju dinas yang sering pak pres kena,24,20,0,2,0,2,1,1,2026-06-25 17:04:02
1933926575239770513,,@susipudjiastuti @prabowo @KemensetnegRI @setkabgoid @Gerindra Ibu dikeluarin luhut dari kabinet n sekarang luhut lebih powerful dari jaman jokowi,ibu dikeluarin luhut kabinet sekarang luhut powerful zaman jokowi,18,9,0,5,0,3,1,0,2026-06-25 17:04:03
1933913067118866776,,@NenkMonica Gak usah Repot-repot Pak @prabowo Singkirkan saja Circle Toxic (Pengkhianat) yg ada di Kabinet anda. klo semakin dibiarkan dipastikan menteri2 Toxic itu akan melakukan Percepatan Punahnya Indonesia 2030.,enggak usah repotrepot pak singkir circle toxic khianat yang ada kabinet kalo makin biar pasti menteri toxic laku cepat punah indonesia,29,21,0,2,0,5,4,7,2026-06-25 17:04:03
1933912099316806120,,@BosPurwa @prabowo @bahlillahadalia Iya pak ganti aja tuh Menteri titipan ngerusak negara dan ngerusak kabinet itu,iya pak ganti saja tuh menteri titip ngerusak negara ngerusak kabinet,16,11,0,3,0,2,1,1,2026-06-25 17:04:03
1933911163248787635,,@detikcom Tambah gemuk aja kabinet prabowo,tambah gemuk saja kabinet prabowo,6,5,0,1,0,0,1,0,2026-06-25 17:04:03
1933909862356009345,,@officialinews_ WAKIL KETUA @DPR_RI ko berkesimpulan Pulau2 ITU Pulau sengketa?? Bagi ku itu hanyalah kebodohan seorang menteri di kabinet @prabowo .,wakil ketua kok simpul pulau pulau sengketa bagi ku hanya bodoh orang menteri kabinet,21,14,0,3,0,3,1,4,2026-06-25 17:04:04
1933901109900550582,,@NenkMonica Don dasco pasti puyeng ini ngeliat kerjaan menteri menteri nya prabowo yg titipan jokowi bikin ulah dan bikin runyam mulu sejak kabinet dibentuk,don dasco pasti puyeng lihat kerja menteri menteri prabowo yang titip jokowi bikin ulah bikin runyam mulu sejak kabinet bentuk,24,20,0,1,0,3,3,4,2026-06-25 17:04:04
1933899497207447689,,@ariel_heryanto Menteri2 yg sudah terbiasa dgn program MENJILAT sudah tak dpt lagi membedakan antara KOTORAN TINJA &amp; MAKANAN SEHAT lantaran aktivitas keseharian nya dlm kabinet OBESITAS nya @prabowo memang hanya seputar Julur lidah &amp; MENJILATI BARANG2 YG MENjIJIKAN otak gak di pake,menteri yang biasa dengan program jilat tak dapat lagi beda antara kotor tinja amp makan sehat lantar aktivitas hari dalam kabinet obesitas memang putar julur lidah amp jilat barang yang jijik otak enggak pakai,42,34,0,2,0,6,7,10,2026-06-25 17:04:04
1933892832085090555,,@NenkMonica Pak @prabowo jangan pernah sekalipun mengusik Aceh. Menteri anda Tito Karnavian telah membuka luka lama rakyat Aceh. Jika nantinya Aceh merdeka maka Anda (Prabowo) Tito Karnavian Boby Nasution ketua DPRD Sumut Jokowi dan kabinet Anda harus tanggung jawab ‼️,pak jangan pernah sekalipun usik aceh menteri tito karnavian buka luka lama rakyat aceh nanti aceh merdeka prabowo tito karnavian boby nasution ketua dprd sumut jokowi kabinet harus tanggung jawab,40,30,0,2,0,7,0,3,2026-06-25 17:04:05
1933891751103909897,,@BosPurwa @prabowo @bahlillahadalia Dgn membiarkan si bahlil tetep di kabinet saja sudah kesalahan besar. Untuk apa anda lapor presiden lagi?? Jelas dia cuma omon-omon. Gak berani. Pendusta,dengan biar sih bahlil tetap kabinet salah besar lapor presiden lagi jelas cuma omonomon enggak berani dusta,27,17,0,3,0,7,4,3,2026-06-25 17:04:05
1933891423306387465,,@kompascom @prabowo parah amat kabinet gendutmu yg mendagri bikin konflik aceh memanas lagi yg bahhlul tambang raja ampat nah ini fadli zonk kebudayaan kata 98 gak ada pemerkosaan kabinet gendut bisanya bikin rusuh mulu,parah amat kabinet gendut yang mendagri bikin konflik aceh panas lagi yang bahhlul tambang raja ampat nah fadli zonk budaya kata enggak ada perkosa kabinet gendut bisa bikin rusuh mulu,34,30,0,2,0,1,3,5,2026-06-25 17:04:06
1933889551434743998,,Pernyataan Dahnil Anzar ini membuktikan bahwa Menteri Agama RI Prof. Nasaruddin Umar memang kagak bisa memimpin Kemenag RI... Artinye ada konflik internal di kabinet Merah Putih Presiden @prabowo... Upsss! @Ari3Ghozi @AirinDatangLagi @narkosun @Jelli_cent @_Rizmaya__ https://t.co/mkCCsWIDlk,nyata dahnil anzar bukti bahwa menteri agama ri prof nasaruddin umar memang kagak bisa pimpin kemenag ri artinye ada konflik internal kabinet merah putih presiden upsss,35,26,1,6,0,2,0,3,2026-06-25 17:04:07
1933887688320626753,,@abu_waras Ya bagus diambil alih..solusinya dikemablihkanmke Aceh..krn itu mnyangkut kedaulatan wilayah Aceh ..kan sdh.kubilang ke Pak @prabowo jika ada genk2an di kabinet mu..langsut pecat!!..Selesai,ya bagus ambil alihsolusinya dikemablihkanmke acehkrn mnyangkut daulat wilayah aceh kan sdhkubilang pak ada gen kabinet mulangsut pecatselesai,24,18,0,2,0,4,0,3,2026-06-25 17:04:08
1933878160262865399,,AKU DITIPU MULYONO ASUUU ! Selama ini aku dapat banyak berita glorifikasi Jokowi yg ajak Prabowo gabung di kabinet 2019 Padahal pada Faktanya justru itu datang dari Bu Mega sendiri cc @PDI_Perjuangan https://t.co/m5Wy8GSIve,tipu mulyono asu dapat banyak berita glorifikasi jokowi yang ajak prabowo gabung kabinet padahal fakta justru datang bu mega sendiri cc,33,21,1,1,0,8,2,2,2026-06-25 17:04:08
1933872842019647713,,@PutriKayan16645 Ini ya yang kalian cari @prabowo. Sdh kita bilang berkali2 kebijakan menteri2nya era lama yg skrang msh bercokol di kabinet itu dibuang saja. Kbijakannya semua dievaluasi. ada terlibat judol raja ampat skrang dgn aceh. Mau dibawa kmana indonesia @SBYudhoyono @AgusYudhoyono,ya kalian cari sudah bilang kali bijak menteri era lama yang sekarang masih cokol kabinet buang kbijakannya semua evaluasi ada libat judol raja ampat sekarang dengan aceh mau bawa mana indonesia,41,31,0,4,0,6,7,9,2026-06-25 17:04:09
1933872252917080309,,5. Badan Pengendalian Pembangunan dan Investigasi Khusus Dibentuk oleh Presiden Prabowo untuk memonitor dan mengawasi program-program kerja para menteri. Pembentukan Badan Pengendalian Pembangunan dan Investigasi Khusus bertujuan memaksimalkan kinerja kabinet Merah Putih.,badan kendali bangun investigasi khusus bentuk presiden prabowo monitor awas programprogram kerja menteri bentuk badan kendali bangun investigasi khusus tuju maksimal kerja kabinet merah putih,32,25,0,0,0,6,0,11,2026-06-25 17:04:10
1933870902892208327,,Presiden @prabowo bgm bpk bs mengatakan kabinet bpk baik2 sj smntra kerja mrk menimbulkan perpecahan bangsa merusak alam merugikan ekonomi bangsa menimbulkan kegaduhan. Bpk masih percaya mrk tinggal menunggu wkt rakyat bergerak mengulang reformasi 98. @bang_dasco @Dahnilanzar,presiden bgm bpk bisa kata kabinet bpk baik saja smntra kerja mereka timbul pecah bangsa rusak alam rugi ekonomi bangsa timbul gaduh bpk masih percaya mereka tinggal tunggu waktu rakyat gerak ulang reformasi,37,33,0,3,0,0,5,10,2026-06-25 17:04:10
1933866160841490625,,@BosPurwa @prabowo @bahlillahadalia Bahlil dan Tito seharusnya sudah di tendang dari jajaran kabinet Pak Presiden @prabowo ibarat benalu yang membuat pemerintahan bapak jadi terlihat busuk.,bahlil tito harus tendang jajar kabinet pak presiden ibarat benalu buat perintah bapak jadi lihat busuk,25,16,0,4,0,5,0,5,2026-06-25 17:04:10
1933861613909795112,,@BANGSAygSUJUD @prabowo @are_inismyname @99propaganda @Ndons_Back @tonybulumanu @jatmiko99604253 @Kimberley_PS08 @gtobing2903 @florieliciouss @kiwalipitu @FDonghun Pas lihat kabinet aje gile.... 100 menteri,pas rakyat kabinet saja gila menteri,19,6,0,12,0,0,3,0,2026-06-25 17:04:10
1933857103615258648,,@KangManto123 @kemendagri Gak perlu kaji ulang selama ini sdh berjalan baik2 saja skrg malah gaduh. @prabowo selamat pak menterinya bikin acara baru biar ada kerjaan.kabinet bapak kompak semua,enggak perlu kaji ulang sudah jalan baik sekarang malah gaduh selamat pak menteri bikin acara baru biar ada kerjaankabinet bapak kompak semua,28,22,0,3,0,3,3,2,2026-06-25 17:04:10
1933853408865521780,,@sharpandshark Waduh ! Makin mencoreng kabinet MP P'@prabowo @Gerindra (Bos Prof.@bang_dasco P'@MuzaniGerindra @Fraksi_Gerindra om @fadlizon &amp; @Dahnilanzar ). Dampak lemah reshuffle org² Mulyono yg sengaja gerogoti marwah utk percepatan naiknya Fufufafa.,waduh makin coreng kabinet mp bos prof om amp dampak lemah reshuffle org mulyono yang sengaja gerogot muruah untuk cepat naik fufufafa,31,22,0,8,0,0,3,5,2026-06-25 17:04:11
1933852279448514609,,@MasBRO_back Berhati-hatilah Bapak @prabowo semoga video ini jadi perhatian anda dan waspada terhadap Kabinet anda @Gerindra @andre_rosiade,berhatihatilah bapak moga video jadi perhati waspada hadap kabinet,17,9,0,4,0,4,0,3,2026-06-25 17:04:11
1933851562998399070,,@geloraco Si Bahlil ini kan jelas Penjilat dan pendukung sijokodok makanya selalu dibela Sayang @Gerindra tak punya mental mencampak kan manusia gagal di kabinet @prabowo ‍️,sih bahlil kan jelas jilat dukung sijokodok makanya selalu bela sayang tak punya mental campak kan manusia gagal kabinet,26,19,0,3,0,3,1,4,2026-06-25 17:04:11
1933850346281209926,,Kabinet merah putih presiden Prabowo SIREKAP Subianto dikuasai toxic Jokowi... @setkabgoid,kabinet merah putih presiden prabowo sirekap subianto asai toxic jokowi,11,10,0,1,0,0,0,1,2026-06-25 17:04:12
1933845636249723076,,Presiden Prabowo Tegaskan Tak Ada Reshuffle Pada Kabinet Merah Putih https://t.co/Sh2n6JTalE,presiden prabowo tegas tak ada reshuffle kabinet merah putih,11,9,1,0,0,1,0,1,2026-06-25 17:04:12
1933844093253427467,,@mardigu024 Elected president : Prabowo Month : June 2025. Subject : Aceh Papua Talaud Timor. Memang sudah diagendakan lama polanya yg dipakai dr jaman pak Harto ngga berubah.. INA di rusak dr dalam. Adu Suku &amp; Agama yg diincer tetep SDAlam. Ada tangan C*A di kabinet skrg.,elected president prabowo month june subject aceh papua talaud timor memang agenda lama pola yang pakai dari zaman pak harto enggak ubah ina rusak dari radu suku amp agama yang diincer tetap sdalam ada tangan ca kabinet sekarang,47,38,0,1,0,4,9,4,2026-06-25 17:04:13
1933838802432459181,,Knapa manusia2 yg masuk ke kabinet mendadak kecerdasannya menurun drastis dan jadi DUNGU? Tapi ini sdh saya prediksi salah satu tujuan Prabowo ngotot ingin jadi presiden adlah menghilangkan sejarah peristiwa 98 yg menyeretnya sbg PELANGGAR HAM BERAT . https://t.co/7mCdTChdhz,knapa manusia yang masuk kabinet dadak cerdas turun drastis jadi dungu tetapi sudah prediksi salah satu tuju prabowo ngotot ingin jadi presiden adlah hilang sejarah peristiwa yang seret bagai langgar ham berat,39,32,1,0,0,4,5,8,2026-06-25 17:04:14
1933837385441443984,,@amelcewaw Pak @prabowo ... menilai anda dan kabinet anda itu bekerja baik atau tidak itu orang lain yang menilainya. Tapi bagi rakyat ber-IQ 58% sih anda dan kabinet anda itu udah terlalu baik. Tapi bagi rakyat yang ber-IQ normal kabinet anda sangat BURUK dalam bekerja.,pak nilai kabinet kerja baik tidak orang lain nila tetapi bagi rakyat beriq sih kabinet sudah terlalu baik tetapi bagi rakyat beriq normal kabinet buruk kerja,45,26,0,2,0,15,3,4,2026-06-25 17:04:14
1933835709959594308,,@kompascom Kacau ini kabinet prabowo dari budi ari judol budi sadikin nggk dipercaya guru besar kedokteran tito nyulut api integrasi negara bahlil skandal tambang nanti terjadi kerusuhan siapa yg tanggung jawab bobi mah kabur tito jg bersilat lidah,kacau kabinet prabowo budi ular judol budi sadikin enggak percaya guru besar dokter tito nyulut api integrasi negara bahlil skandal tambang nanti jadi rusuh yang tanggung jawab bobi mah kabur tito juga silat lidah,38,34,0,1,0,3,4,5,2026-06-25 17:04:14
1933830071497986201,,Jadi ingat kabinet kompak dan berkinerja baik tidak ada resuffle kata presiden Prabowo. Ini rupanya pembungkaman intelektual.,jadi ingat kabinet kompak kerja baik tidak ada resuffle kata presiden prabowo rupa bungkam intelektual,17,15,0,0,0,2,0,3,2026-06-25 17:04:15
1933824397074436250,,Jokowi Finalis Tokoh Terkorup Sedunia Versi OCCRP 2024 diangkat oleh Prabowo sebagai pengawas Danantara. Pemberantasan korupsi sebatas omon omon. Kabinet isinya para koruptor #JokowiRezimGarong #JokowiRezimGarong https://t.co/inH20SmO71,jokowi final tokoh korup dunia versi occrp angkat prabowo bagai awas danantara berantas korupsi batas omon omon kabinet isi koruptor,26,20,1,0,2,2,1,8,2026-06-25 17:04:15
1933824253729857686,,@asboediono_id @prabowo Nich orang @RajaJuliAntoni Klo bukan dr @psi_id partainya @jokowi sudah di lempar dr kabinet,nih orang kalo bukan dari partai lempar dari kabinet,16,9,0,5,0,2,4,1,2026-06-25 17:04:15
1933822166753218713,,@KompasTV Pak @prabowo segera dipecat Saja itu @titokarnavian_ sbg Mendagri. @titokarnavian_ ini bagian dr anak emas @jokowi &amp; salah satu org dr Genk Solo @jokowi yg masih tetap dipertahankan sbg Menteri dlm Kabinet Pemerintahan @prabowo ? @prabowo jgn ragu2 preteli Semua org2 Jkw,pak segera pecat bagai mendagri bagi dari anak emas amp salah satu orang dari genk solo yang masih tetap tahan bagai menteri dalam kabinet perintah jangan ragu pretel semua orang jkw,43,31,0,8,0,3,9,7,2026-06-25 17:04:16
1933821599733694899,,Aceh merdeka tampaknya inikah kabinet yang kompak presiden Prabowo?,aceh merdeka tampak ini kabinet kompak presiden prabowo,9,8,0,0,0,1,0,2,2026-06-25 17:04:16
1933817793843277969,,@sri3753 @sjafriesjams @Kemhan_RI @prabowo Kabinet rekomen Mas jok Bikin gaduh di bawah kepemimpinan Prabowo saja... Biar di anggap Prabowo gak bisa mimpin... Pada sadar gak ya barisan Prabowo LG di jerumusin ?,kabinet rekomen mas jok bikin gaduh bawah pimpin prabowo biar anggap prabowo enggak bisa mimpin sadar enggak ya baris prabowo lagi jerumusin,32,22,0,4,0,5,3,2,2026-06-25 17:04:16
1933815494861259162,,@pojokanarki @MasBRO_back Statement Ruslan Buton soal Geng Solo melemahkan Prabowo ada dasarnya tapi berlebihan. Geng Solo memang jaringan pejabat era Jokowi beberapa ada di kabinet Prabowo. Tensi politik mungkin ada tapi tak ada bukti kuat mereka sabotase. Prabowo kelihatan masih pegang kendali ,statement ruslan buton soal geng solo lemah prabowo ada dasar tetapi lebih geng solo memang jaring jabat era jokowi beberapa ada kabinet prabowo tensi politik mungkin ada tetapi tak ada bukti kuat sabotase prabowo lihat masih pegang kendali,42,38,0,2,0,2,2,6,2026-06-25 17:04:17
1933814312210243960,,Pak tolong bgt ini knp sih milih kabinet yg unik @prabowo,pak tolong banget kenapa sih pilih kabinet yang unik,11,9,0,1,0,1,4,1,2026-06-25 17:04:17
1933811602308141363,,@ebonXboy @FajarMoenir @Dennysiregar7 Tukang kayu sekarang cuma boneka oligarki. Nah SAPA yg bisa lawan APH + DPR + Sebagian TNI + Sebagian anggota Kabinet + Jkw - Gibran yg dikendalikan oligarki?? Prabowo punya bintang tapi jumlah bintang pegangan oligarki masih lebih banyak ... Liat aja DPR bungkam. Kecuali,tukang kayu sekarang cuma boneka oligarki nah siapa yang bisa lawan aph dpr bagi tni bagi anggota kabinet jkw gibran yang kendali oligarki prabowo punya bintang tetapi jumlah bintang pegang oligarki masih banyak lihat saja dpr bungkam kecuali,48,38,0,3,0,1,6,4,2026-06-25 17:04:17
1933805386420920470,,@124hmahHastuti1 Segera diganti ini barang bekas tinggalan Jokowi yg membuat predikat kabinet Prabowo jadi kabinet rongsok...,segera ganti barang bekas tinggal jokowi yang buat predikat kabinet prabowo jadi kabinet rongsok,16,14,0,1,0,1,1,3,2026-06-25 17:04:17
1933799066875645964,,Anggota Komisi II DPR RI Mohammad Toha menanggapi pernyataan Presiden Prabowo Subianto yang tidak akan melakukan reshuffle kabinet dalam waktu dekat. Terkait hal itu dia meminta para menteri meningkatkan kinerjanya dan tidak menimbulkan kontroversi. Presiden tentu punya https://t.co/3jd4M0dcRT,anggota komisi ii dpr ri mohammad toha tanggap nyata presiden prabowo subianto tidak laku reshuffle kabinet dekat kait hal minta menteri tingkat kerja tidak timbul kontroversi presiden tentu punya,38,29,1,0,0,8,0,8,2026-06-25 17:04:18
1933795526832763020,,@KompasTV kabinet isinya mentri bodoh dengan kebijakan kebijakan bodoh......maunya terus menbodohi rakyat...cc @prabowo,kabinet isi tri bodoh bijak bijak bodohmaunya terus menbodohi rakyatcc,13,10,0,2,0,1,0,4,2026-06-25 17:04:18
1933794230394368184,,@strike653811 @democrazymedia Sekalipun Cacat Hukum Lalu Di Republik Rusak Ini Apakah Bisa Dikasuskan Anak Jokowi Jika Mulut-mulut Penegak Hukum &amp; Anggota Partai Di DPR Hubungan Politik Ada Di Kabinet Si Prabowo..??? Hanya Kembali Ke Sejarah Perahlian Yg Lebih Efektif Biar Roda Negara Bergerak Lagi.,sekalipun cacat hukum republik rusak apakah bisa kasus anak jokowi mulutmulut tegak hukum amp anggota partai dpr hubung politik ada kabinet sih prabowo kembali sejarah ahli yang efektif biar roda negara gerak lagi,44,33,0,2,0,9,2,5,2026-06-25 17:04:19
1933792953102946371,,betul sepertinya kabinet prabowo-gibran masih berjalan agak baik atau lumayan baik mungkin krn kabinetnya banyak yg baru jd masih perlu penyesuaian utk terlaksananya tugas dgn normal,betul seperti kabinet prabowogibran masih jalan agak baik lumayan baik mungkin karena kabinet banyak yang baru jadi masih perlu sesuai untuk laksana tukas dengan normal,26,25,0,0,0,1,6,5,2026-06-25 17:04:19
1933787169031925849,,@susipudjiastuti @prabowo bu susi yakin prabowo bisa mengatasi persoalan2 bangsa ini? satu hal yg jadi pertanyaan ini kabinet kompromi setengah milik mantan setengah milik beliau. setelah PAGAR LAUT PIK2 PERTAMINA JUDOL bu susi masih yakin? sepertinya ada yg beliau takuti untuk diutak atik,bu sus yakin prabowo bisa atas soal bangsa satu hal yang jadi tanya kabinet kompromi tengah milik mantan tengah milik beliau pagar laut pik pertamina judol bu sus masih yakin seperti ada yang beliau takut diutak atik,43,37,0,2,0,4,2,9,2026-06-25 17:04:19
1933784867357286747,,@asboediono_id @prabowo Kabinet Indonesia Maju isinya orang goblok semua #JokowiRezimGarong #JokowiRezimGarong,kabinet indonesia maju isi orang goblok semua,11,7,0,2,2,0,0,1,2026-06-25 17:04:20
1933783058865664172,,Sekretaris Kabinet RI Letkol Teddy Indra Wijaya lantas mengungkap pembicaraan antara Prabowo Subianto dengan Donald Trump. https://t.co/51w8gk2u99,sekretaris kabinet ri letkol teddy indra wijaya lantas ungkap bicara antara prabowo subianto donald trump,17,15,1,0,0,1,0,2,2026-06-25 17:04:20
1933781331957461370,,@CNNIndonesia Relawan yang kerjanya jadi tukang lapor apakah termasuk menambah lapangan kerja baru dari total janji pembukaan 19 juta lapangan kerja baru kabinet Prabowo Gibran?,sukarelawan kerja jadi tukang lapor apakah masuk tambah lapang kerja baru total janji buka juta lapang kerja baru kabinet prabowo gibran,25,21,0,1,0,2,1,6,2026-06-25 17:04:21
1933779702499659806,,Terungkap Isi Pembicaraan Prabowo dan Trump Lewat Telepon Komunikasi Presiden Prabowo Subianto dan Presiden Donald Trump via telepon pada Kamis malam 12 Juni 2025 diungkap Sekretaris Kabinet (Seskab) Letkol Teddy Indra Wijaya. https://t.co/N4ue9NkXKw,ungkap isi bicara prabowo trump lewat telepon komunikasi presiden prabowo subianto presiden donald trump via telepon kamis malam juni ungkap sekretaris kabinet seskab letkol teddy indra wijaya,33,27,1,0,0,3,0,3,2026-06-25 17:04:21
1933773128809001348,,Gua akan bilang kalo prabowo adalah presiden yang lemah mafia mafia masih banyak yang bermain di kabinet nya. Jika tidak ia basmi semua omongannya hanya sia² belaka,gua bilang kalau prabowo presiden lemah mafia mafia masih banyak main kabinet tidak ia basmi semua omong sia belaka,27,19,0,0,0,8,1,3,2026-06-25 17:04:21
1933765020850205108,,@snjayajonggrang ngebet Anies jadi wapres Prabowo haha. Mereka gak dukung saja ngatur2 Prabowo hrus ini itu gimana kalau Anies jadi wapres? makin ngelunjak ngatur2 Prabowo malah jadi beban politik dan kabinet wkwk,ngebet anies jadi wapres prabowo haha enggak dukung atur prabowo harus bagaimana anies jadi wapres makin ngelunjak atur prabowo malah jadi beban politik kabinet wkwk,32,25,0,1,0,6,5,2,2026-06-25 17:04:22
1933757735339982977,,@pesertapeninjau @ardynshufi halah politik mulu otaknya kaga bisa disambungin ke hal lain bodo amat mau di kabinet bumn jalanan apa penjara juga ga peduli! tentang TIJANI nyaa PEMAIN yg mau direkrut MAU GA sekali pun yg minta jokowi atau prabowo!? ga nyambung sumpah..,halah politik mulu otak kagak bisa disambungin hal lain bodo amat mau kabinet bumn jalan penjara enggak peduli tentang tijani nya main yang mau rekrut mau enggak yang minta jokowi prabowo enggak sambung sumpah,43,34,0,2,0,7,9,6,2026-06-25 17:04:22
1933748378216911259,,@OposisiCerdas Saya setuju dari empat calon tersebut yg penting ganti wapresnya. Untuk memperbaiki kinerja kabinet pak Prabowo. Karena pengalaman itu berpengaruh dalam mengemban tugas sebagai wakil presiden.,tuju empat calon yang penting ganti wapresnya baik kerja kabinet pak prabowo alam pengaruh emban tukas bagai wakil presiden,27,19,0,1,0,7,3,6,2026-06-25 17:04:23
1933747318379196918,,Misinya membuat gaduh di pemerintahan bapak prabowo yg dilakukan oleh genk solo melalui mantu dan menteri kabinet merah putih.,misi buat gaduh perintah bapak prabowo yang laku genk solo lalu mantu menteri kabinet merah putih,19,16,0,0,0,3,1,5,2026-06-25 17:04:23
1933746233933521219,,Presiden Prabowo Tegaskan Tak Ada Reshuffle Kabinet Golkar: Sudah Clear and Clean https://t.co/aGh3rsPD9A #Golkar #BahlilLahadalia,presiden prabowo tegas tak ada reshuffle kabinet golkar clear and clean,15,11,1,0,2,1,0,1,2026-06-25 17:04:24
1933739889675370698,,@toe_giman Ngeri2 sedap lah kabinet prabowo udh kgk tau lg mana yg benar mana yg salah banyak penyusup ini kalo perang kyk israel vs iran kebobolan trs pejabat strategis negara hedehhh ngeri2 sedap,ngeri sedap kabinet prabowo sudah kgk daun lagi mana yang benar mana yang salah banyak susup kalau perang kayak israel vs iran bobol terus jabat strategis negara hedehhh ngeri sedap,33,30,0,1,0,2,8,3,2026-06-25 17:04:24
1933738608936263901,,@KompasTV Pak prabowo ...kpn mau reshuffle kabinet pak?,pak prabowo kapan mau reshuffle kabinet pak,8,7,0,1,0,0,1,0,2026-06-25 17:04:24
1933724316954140856,,@yaniarsim @prabowo @Kemendagri_RI @titokarnavian_ Percuma @prabowo itu cuma boneka yg pegang kabinet sekarang mulyono Dan haji isam!,percuma cuma boneka yang pegang kabinet sekarang mulyono haji isam,17,10,0,5,0,2,1,0,2026-06-25 17:04:24
